1 	 	 2 	 	 3 	
T 	 DT 	 T 	 DT 	 T 	 DT	
27,56	0	28,5	0	27,62	-0,0700000000000003	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,62	0	
27,56	0	28,5	0	27,56	-0,0600000000000023	
27,56	0	28,5	0	27,56	0	
27,5	-0,0599999999999987	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,56	0	
27,5	0	28,5	0	27,5	-0,0599999999999987	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,5	0	
27,5	0	28,5	0	27,44	-0,0599999999999987	
27,5	0	28,5	0	27,44	0	
27,5	0	28,5	0	27,44	0	
27,5	0	28,5	0	27,44	0	
27,5	0	28,5	0	27,44	0	
27,5	0	28,5	0	27,44	0	
27,5	0	28,5	0	27,44	0	
27,5	0	28,5	0	27,44	0	
27,44	-0,0599999999999987	28,5	0	27,44	0	
27,44	0	28,5	0	27,44	0	
27,44	0	28,5	0	27,44	0	
27,44	0	28,5	0	27,44	0	
27,44	0	28,5	0	27,37	-0,0700000000000003	
27,44	0	28,5	0	27,37	0	
27,44	0	28,5	0	27,37	0	
27,44	0	28,5	0	27,37	0	
27,44	0	28,5	0	27,37	0	
27,44	0	28	-0,5	27,37	0	
27,44	0	28,5	0,5	27,37	0	
27,44	0	28,5	0	27,37	0	
27,44	0	28	-0,5	27,37	0	
27,44	0	28,5	0,5	27,37	0	
27,37	-0,0700000000000003	28	-0,5	27,37	0	
27,37	0	28	0	27,37	0	
27,44	0,0700000000000003	28	0	27,31	-0,0600000000000023	
27,44	0	28	0	27,31	0	
27,37	-0,0700000000000003	28	0	27,31	0	
27,37	0	28	0	27,31	0	
27,37	0	28	0	27,31	0	
27,37	0	28	0	27,31	0	
27,37	0	28	0	27,31	0	
27,37	0	28	0	27,31	0	
27,37	0	28	0	27,31	0	
27,37	0	28	0	27,31	0	
